Name,Description,Location,Date,External Link,Register Online,Organiser
Trail Sampye,Citron Donis - Mt Limon - Anse Quitor,Rodrigues,21/02/2016,,TRUE,RTA / FLL
Trail Milpatt,Baie du Nord - Pte Longue - Plaine Corail,Rodrigues,20/03/2016,,TRUE,RTA / RCSA
Trail Zernye,Pte l'Herbe - Baie Malgache - Pte l'Herbe,Rodrigues,24/04/2016,,TRUE,RTA / Phoenix Beverages
Trail Garlett,Pointe Longue - P. Theophile - Pte Longue,Rodrigues,22/05/2016,,TRUE,RTA / Tekoma
Trail Trouloulou,Jean Tac - Cygangue - Jean Tac,Rodrigues,21/08/2016,,TRUE,RTA / Auberge du Lagon
Trail de Rodrigues,Trail Tour de l'Ocean Indien,Rodrigues,06/11/2016,,TRUE,RTA
Trail du Colorado,Trail Tour de l'Ocean Indien,Reunion,29/05/2016,www.trailducolorado.fr,FALSE,Racing Club de Saint-Denis
Ultra Trail des O Plateaux,Trail Tour de l'Ocean Indien,Madagascgar,06/05/2016,utop.mg,FALSE,UTOP
